titles
GLM-5.2 is the new leading open weights model on Artificial Analysis (artificialanalysis.ai)
RFC 10008: The new HTTP Query Method (rfc-editor.org)
Sixty percent of US consumers say 'AI' in brand messaging is a turnoff (wpvip.com)
Show HN: High-Res Neural Cellular Automata (cells2pixels.github.io)
"MicroUI – A tiny, portable, immediate-mode UI library written in ANSI C (github.com/rxi)"
GrapheneOS has been ported to Android 17 (grapheneos.org)
Hacker News but for Independent Blogs (bubbles.town)
Running local models is good now (vickiboykis.com)
Show HN: Capacitor Alarm Clock (github.com/arcaege)
Abandoned and Little-Known Airfields (airfields-freeman.com)
